Rust,cold,1,13.12,449040
Rust,incr,1,1.00,228576
Rust,cold,2,11.31,441904
Rust,incr,2,0.99,228512
Rust,cold,3,10.99,448224
Rust,incr,3,1.00,228352
Rust,cold,4,11.22,445312
Rust,incr,4,0.99,230000
Rust,cold,5,10.98,444336
Rust,incr,5,1.12,229104
Rust,cold,6,10.82,454736
Rust,incr,6,1.01,228752
Rust,cold,7,11.34,451664
Rust,incr,7,0.99,228944
Rust,cold,8,10.97,439600
Rust,incr,8,0.98,228832
Rust,cold,9,10.99,442960
Rust,incr,9,0.99,229280
Rust,cold,10,10.95,438512
Rust,incr,10,1.01,225376
Rust,cold,1,12.15,436608
Rust,incr,1,1.01,227632
Rust,cold,2,11.03,435632
Rust,incr,2,1.09,226048
Rust,cold,3,10.91,441728
Rust,incr,3,1.04,228016
Rust,cold,4,10.91,446240
Rust,incr,4,1.00,229152
Rust,cold,5,11.35,445376
Rust,incr,5,1.00,228496
Rust,cold,6,10.95,453776
Rust,incr,6,0.99,229312
Rust,cold,7,10.96,442400
Rust,incr,7,1.04,227664
Rust,cold,8,10.95,449248
Rust,incr,8,1.02,225888
Rust,cold,9,10.99,439680
Rust,incr,9,1.00,229824
Rust,cold,10,11.47,449088
Rust,incr,10,0.99,228704
Rust,cold,1,10.74,440688
Rust,incr,1,0.99,229840
Rust,cold,1,11.77,435632
Rust,incr,1,0.98,228336
Rust,cold,1,11.92,434624
Rust,incr,1,0.99,228640
